Row,CO2,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"Moldova",239.751276377,30546.7676603347,1413.95795762426,17464.6858840708,50.2265125950245,18809.008376638,102.326105093701,55366.6087202952,166.933197961432,56897.0276487532,2432.94675375494,32521.0256581252,459.616928433895,40445.0388068594,822.722714777105,97725.018481275,1340.38178045706
"Tunisia",230.170161716,21255.6473059342,842.37417605367,12059.0109415426,52.7445773166561,13406.8790949887,105.242431914276,38301.0518812712,175.98424514228,52675.0949787303,2222.20520320029,30009.6594444964,463.118700192488,37917.9059793922,832.508257391275,90097.7195123022,1373.88413036015
"Bosnia and Herzegovina",229.574534199,24124.568235387,971.492211444669,13733.4049632171,46.9083358366549,15057.8583913441,94.2031278648855,43582.4413515997,156.310943844854,53221.6947379197,2073.78144636419,30357.7421927749,417.30525106641,38140.2887832497,748.991247330145,91167.0532377344,1230.85706795541
"Bahrain",221.3944135,19733.8557948967,813.075416372368,11184.2514862829,53.8572681510587,12486.3314277308,107.262401986886,35530.9844706764,179.72301640656,50478.5513874226,2239.70658708867,28749.2984381149,471.157614420587,36385.2848363285,846.924010480163,86301.0708878244,1399.03315262025
"Slovenia",216.466863639818,23192.6796464481,872.211384299688,13209.2419440636,41.569394619539,14453.8745312429,83.635910641665,41914.9224640377,138.515019514564,50310.7820303556,1859.79544035979,28703.244819366,371.166240642481,36018.4553788739,666.454253051908,86210.645892827,1094.36700142291
"Luxembourg",200.890558368,25063.4998412741,956.993328540132,14323.864121855,34.6336217563899,15459.4938168047,70.0647723614873,45407.1415851626,115.082911500676,47195.1559155947,1619.05764885079,26970.4824387264,313.019679175587,33642.0489629062,559.423364819246,80972.9363451516,913.737300823535
"Kyrgyzstan",199.805513486,24414.209355097,1094.45373651842,13946.3878609029,40.200503698035,15075.107155831,81.6984225459746,44221.133048557,133.657363612763,47122.3352359195,1919.44471207946,26921.3247464394,366.124025266786,33567.9268325796,655.504710491249,80877.7541287395,1069.37051810515
"Dominican Republic",190.89020991,17371.1613578005,709.364872798979,9851.09241481305,44.5384423718275,10970.2466393221,88.9041939286156,31292.1450192665,148.609508234522,43649.4932555059,1880.86037018615,24864.3686960337,391.36247284807,31430.7447632435,703.640869687573,74653.3663072405,1161.07077186855
"Latvia",190.788859958364,23260.2193161237,930.512492240048,13286.6456497649,35.16732350156,14365.0940351319,71.385584375951,42128.9182634742,116.95731366626,44935.4447211193,1666.82821385543,25671.7529215664,319.564752288512,32018.5418323212,572.402754947217,77116.0394094704,934.550675499384
"Lebanon",185.689476903,17385.5972736073,668.2693080602,9867.25313857732,42.7988164918946,10954.2987540857,85.3056821719105,31335.239928159,142.811964544805,42477.7991924758,1786.39349113445,24203.1041028341,374.930739058465,30578.7356121082,673.875821334879,72651.5578624851,1112.71088410193
"Angola",183.664984275,15097.0314244452,693.122597617698,8535.19775007318,53.3434820224278,9627.05953717223,105.805222150805,27128.8369860901,178.073801403851,41452.9988494393,2149.40326564769,23592.5205740763,462.807964653457,29985.4577845818,831.828675920082,70781.0181896598,1377.15387545823
"Zimbabwe",181.668403488545,20600.1651379646,770.390753314066,11748.4465565074,33.788368388056,12785.685047266,68.2107042724037,37266.3638101204,112.525302538559,42428.3067979233,1542.75110530134,24220.6586153669,303.671023558653,30318.6163902198,544.92768204029,72745.6453881832,893.020306662995
"Jordan",177.128216328,15414.7624843257,658.43967415138,8730.18657269305,43.7775536972781,9773.82108637754,87.2261919662561,27740.2797939064,146.092442667973,40330.4638805729,1826.06273695034,22964.8222439052,383.308738640042,29085.118493681,689.156361110395,68941.4509041325,1138.25909734493
"Mongolia",171.16153694,14941.0262294463,663.234703586289,8462.66390995991,50.104651794099,9474.02089316455,99.5450304051338,26886.3938852145,167.314231471943,38820.6377049704,2010.1404093595,22105.469621814,435.423909565672,28032.3616344906,782.647208085183,66324.0818586065,1295.1789428916
"Armenia",170.807442224909,22116.4718918705,958.82603220195,12648.9993205244,33.8479804791736,13606.6229972362,68.9080179456386,40093.793357851,112.481348676622,40476.2823885076,1634.40384328458,23140.1004427061,309.36030779312,28778.6614888382,553.528549058317,69510.0852339784,901.921164867779
"Yemen",167.639617014,16146.9104664927,636.094983276531,9171.39025371705,38.3753700797268,10148.8204101622,76.5755810718714,29120.5207355988,128.000434155336,38490.8319938761,1630.51812123118,21937.2691184879,337.284478325428,27670.9364708576,606.194939552218,65864.2903922828,1000.05945207781
"North Macedonia",155.923515674,17262.8436933302,701.979844717964,9839.57151531287,30.1418246449292,10731.0541426434,60.9270614713883,31217.9054220343,100.367810324913,36439.0840209884,1389.27502378506,20795.9248763197,271.584695297597,26041.4338877472,487.353740318012,62479.8932988984,798.135950977135
"Bolivia",142.385795119,13835.8082481815,531.514674530223,7860.61194604089,32.6283198910695,8692.17041732102,65.000614373653,24954.6423811826,108.849242601358,32590.896762529,1358.07591251409,18576.3761767024,285.590407453266,23450.3420546844,512.970346000763,55745.9720562002,846.984842360333
"Myanmar",132.588895054,12665.156191572,480.855992346198,7192.13183746539,31.3364246436359,7967.66939202144,62.393201208782,22835.6673452292,104.578274292289,30330.9591214135,1291.24735448798,17285.1350634186,273.791834823332,21832.74133658,491.94700613498,51875.000964242,812.787112821721
"Sri Lanka",125.075215142,11626.4172506679,445.771587659936,6597.31830184334,30.4305735811291,7331.36285102289,60.5261775537264,20950.5705991375,101.563974527618,28523.1102831974,1247.30243086745,16250.8831621535,265.392513787409,20552.7795748697,476.938757486831,48765.6681125691,788.444233590045
"Jamaica",119.340244429,12647.8996798091,490.801948355139,7201.60821738472,23.5194877528646,7888.66701022271,47.3014355281867,22853.42381182,78.3719171442944,27712.7522955735,1050.02538921514,15808.8260601815,209.852808664898,19846.7224970324,376.808270219142,47482.7083295065,618.869386429575
