Row,Mean_calibrated,CI_calib,Mean_expert,CI_expert
"Jamaica",4309.56015077077,167.232550233501,9442.65656627875,357.778578990706
"Kenya",225.690759554409,8.34783182214596,526.56359430885,21.0991777467902
"Curaçao",NaN,NaN,NaN,NaN
"Guatemala",586.798013769662,22.9688740121907,1457.31086915683,62.7346641308385
"Sudan",233.112697092115,9.67448708037721,592.642733816673,27.5885068983327
"Tajikistan",1414.82850916346,59.3833820511771,2656.29494546063,103.534824301062
"Uruguay",3307.97657099645,122.36650823375,6589.88881164829,229.223293196566
"Ghana",283.502533949903,10.991139439808,703.070121320314,30.8989109902276
"Côte d'Ivoire",331.706730958655,13.5637893941478,790.461279425595,32.6073698979458
"Brunei Darussalam",20038.6829473771,915.163883654306,45098.2782059709,1894.1693872559
"Panama",1781.2036867901,68.115888970875,4309.78655898188,180.894088097899
"Cyprus",8478.49886820195,331.116711873131,20342.301113082,829.597285251907
"Albania",2917.19239996646,122.455736427905,5973.76097533382,232.846701664774
"Gabon",3380.2367093343,149.217652669028,7477.0836720108,301.39582012343
"Honduras",603.041839423216,24.5007071949366,1547.07252663166,69.8472607621525
"Costa Rica",1199.10915716798,47.625804693737,2975.9559647505,126.571896508144
"Zambia",460.863268057954,18.3125820267058,848.590483989685,30.0126671604342
"Ethiopia",48.5888883854132,2.09980189768259,128.900435789622,6.44870652114793
"Senegal",353.952551884213,13.9388950424105,870.085119928254,37.3168701265724
"El Salvador",879.975224297283,34.3425506437172,2131.26382451362,88.4077224986268
"Tanzania",96.8927508264611,3.9654157686426,243.538098014106,11.1693964391585
"Cameroon",198.270586541342,9.03366625896989,486.414456608046,21.9784288406661
"Democratic Republic of the Congo",75.2433775824082,2.97636593920441,139.240026512171,5.0028123805408
"Afghanistan",NaN,NaN,NaN,NaN
"Nicaragua",683.556558937169,26.0180318136276,1610.46277359228,64.3803197735611
"Mozambique",169.560936214107,6.76620934994495,350.767300222376,14.3816881452257
"Bahamas",13926.2182962498,766.614243541251,27019.2679209307,1279.57517627448
"Paraguay",561.669222492454,23.1985945118986,1442.1870537438,64.538199186765
"Papua New Guinea",NaN,NaN,NaN,NaN
"Iceland",12502.5859953168,447.227221069494,27296.021031854,999.88518320839
"New Caledonia",NaN,NaN,NaN,NaN
"Botswana",1350.18370799951,63.5639707584761,3734.30724405651,183.155511845093
"Nepal",96.9948236011124,4.92925943587609,281.186636006097,16.1403194539333
"Cambodia",164.395199099905,8.74790148749563,479.986527480711,29.4615843167471
"Equatorial Guinea",1864.01556720393,123.048929239649,5838.25738658193,380.77413007453
"Laos",319.524645537126,26.4758636787779,1028.40100817428,98.5753933556782
"Suriname",5650.94336175883,218.321357378687,12182.9836589511,453.762515113841
"Mauritius",2025.52355803325,84.5416446972742,5277.04014109093,242.293497317456
"Benin",190.464684732889,9.54862642445052,552.293211177679,30.9034915003859
"Malta",6254.98628883937,246.337904704912,14535.4026452083,586.703323908613
"Guyana",3705.23867159058,139.617352394806,7802.64447724745,283.068514531637
"Uganda",56.0509722294978,2.26310004902934,137.819013621229,6.32227346075449
"Montenegro",4126.356226651,161.819737529298,9236.73277740721,354.243536969122
"Madagascar",91.9854502800919,3.46400931351779,213.169658208143,8.6283263478165
"Kosovo",NaN,NaN,NaN,NaN
"Guinea",167.599663984101,6.41114056420094,394.54427534643,15.8472321595783
"Haiti",163.920088895615,6.42510094440394,406.946771557788,17.747150240445
"Congo",350.60458927427,14.9194404900993,856.203647251794,38.7978105367522
"Mauritania",386.847582050231,17.9158236810634,978.919388330474,46.0482711874167
"Namibia",563.81484685513,31.5793744106187,1703.63041027379,96.864356699732
"Togo",201.965039457036,8.50862086930089,520.93426566121,23.6248752947807
