,1,2,3,4,5,6
218,11437.05981,8518.706202,9430.436064,12535.04486,9445.82669,8576.319845
219,11438.84029,8519.040496,9431.1851,12537.45046,9446.583036,8576.679247
220,11440.57053,8519.365322,9431.912947,12539.78827,9447.317987,8577.028469
221,11442.25195,8519.680945,9432.620204,12542.06019,9448.032147,8577.367799
222,11443.88591,8519.987628,9433.30745,12544.26806,9448.726102,8577.697518
223,11445.47375,8520.285622,9433.975252,12546.41368,9449.400423,8578.017896
224,11447.01677,8520.575174,9434.624157,12548.49879,9450.055663,8578.329199
225,11448.51622,8520.856523,9435.254699,12550.5251,9450.692361,8578.631683
226,11449.97332,8521.1299,9435.867397,12552.49424,9451.311041,8578.925597
227,11451.38927,8521.395532,9436.462755,12554.40783,9451.912212,8579.211185
228,11452.76523,8521.653637,9437.041262,12556.26741,9452.496368,8579.488681
229,11454.10232,8521.904429,9437.603394,12558.07452,9453.063989,8579.758315
230,11455.40164,8522.148114,9438.149614,12559.83062,9453.615543,8580.020309
231,11456.66424,8522.384894,9438.680371,12561.53714,9454.151484,8580.274879
232,11457.89116,8522.614965,9439.196102,12563.19549,9454.672252,8580.522237
233,11459.08341,8522.838515,9439.697232,12564.807,9455.178277,8580.762585
234,11460.24196,8523.055731,9440.184174,12566.37301,9455.669974,8580.996122
235,11461.36776,8523.26679,9440.657328,12567.89478,9456.14775,8581.223041
236,11462.46173,8523.471869,9441.117084,12569.37357,9456.611997,8581.44353
237,11463.52478,8523.671135,9441.563821,12570.81057,9457.063098,8581.65777
238,11464.55777,8523.864753,9441.997907,12572.20698,9457.501425,8581.865938
239,11465.56154,8524.052884,9442.4197,12573.56393,9457.927339,8582.068207
240,11466.53693,8524.235683,9442.829547,12574.88253,9458.34119,8582.264743
241,11467.48474,8524.413301,9443.227786,12576.16386,9458.74332,8582.455709
242,11468.40573,8524.585884,9443.614746,12577.40897,9459.13406,8582.641263
243,11469.30067,8524.753576,9443.990745,12578.61888,9459.513733,8582.821557
244,11470.1703,8524.916514,9444.356094,12579.79459,9459.882652,8582.996741
245,11471.01532,8525.074833,9444.711093,12580.93705,9460.24112,8583.16696
246,11471.83643,8525.228665,9445.056036,12582.04721,9460.589434,8583.332354
247,11472.63432,8525.378137,9445.391207,12583.12598,9460.92788,8583.493059
248,11473.40962,8525.523371,9445.716883,12584.17423,9461.256738,8583.649209
249,11474.16298,8525.664488,9446.033332,12585.19284,9461.57628,8583.800933
250,11474.89502,8525.801605,9446.340815,12586.18263,9461.886768,8583.948356
251,11475.60634,8525.934834,9446.639587,12587.14443,9462.18846,8584.0916
252,11476.29753,8526.064287,9446.929893,12588.07901,9462.481603,8584.230783
253,11476.96915,8526.19007,9447.211974,12588.98715,9462.766441,8584.366021
