1,2,3,4,5,6,,,,,,,,,
ID,Year,fossil,landuse,total,Fex,,GCP_landuse,RCP_landuse,SSP_landuse,RCP3.0,RCP85,E_RCP85,GCP_N,GCP_G
129,1893,0.369579,0.62440331,0.99398231,-0.08330621,,1.02,0.615501,,0.62440331,0.62440331,0.36999999,0.36999999,0.369579
130,1894,0.382471,0.64036719,1.02283819,-0.08568659,,1.03,0.618032,,0.64036719,0.64036719,0.38299999,0.38299999,0.382471
131,1895,0.405546,0.64441851,1.04996451,-0.08962221,,1.04,0.621375,,0.64441851,0.64441851,0.40599999,0.40599999,0.405546
132,1896,0.418779,0.6462784,1.0650574,-0.0909038,,1.05,0.625608,,0.6462784,0.6462784,0.41899999,0.41899999,0.418779
133,1897,0.438604,0.64956412,1.08816812,-0.09005431,,1.06,0.630809,,0.64956412,0.64956412,0.43999999,0.43999999,0.438604
134,1898,0.462639,0.65100098,1.11363998,-0.08999961,,1.07,0.637056,,0.65100098,0.65100098,0.46499999,0.46499999,0.462639
135,1899,0.505411,0.65220446,1.15761546,-0.09157408,,1.08,0.644427,,0.65220446,0.65220446,0.50699999,0.50699999,0.505411
136,1900,0.533486286,0.65320628,1.186692566,-0.09327026,,1.11,0.653,,0.65320628,0.65320628,0.53399999,0.53399999,0.533486286
137,1901,0.551207956,0.70294318,1.254151136,-0.09732457,,1.13,0.670707,,0.70294318,0.70294318,0.55199999,0.55199999,0.551207956
138,1902,0.565295352,0.70297364,1.268268992,-0.10172533,,1.15,0.689296,,0.70297364,0.70297364,0.56599999,0.56599999,0.565295352
139,1903,0.616758257,0.72667096,1.343429217,-0.10620151,,1.16,0.708369,,0.72667096,0.72667096,0.61699999,0.61699999,0.616758257
140,1904,0.62335055,0.74829324,1.37164379,-0.11058166,,1.17,0.727528,,0.74829324,0.74829324,0.62399999,0.62399999,0.62335055
141,1905,0.663798673,0.76981521,1.433613883,-0.11380284,,1.18,0.746375,,0.76981521,0.76981521,0.66299999,0.66299999,0.663798673
142,1906,0.697416875,0.79653384,1.493950715,-0.11912159,,1.19,0.764512,,0.79653384,0.79653384,0.70699999,0.70699999,0.697416875
143,1907,0.78855375,0.80376274,1.59231649,-0.12428273,,1.2,0.781541,,0.80376274,0.80376274,0.78399999,0.78399999,0.78855375
144,1908,0.759251527,0.81141278,1.570664307,-0.12175073,,1.21,0.797064,,0.81141278,0.81141278,0.74999999,0.74999999,0.759251527
145,1909,0.789493407,0.81737807,1.606871477,-0.11645298,,1.22,0.810683,,0.81737807,0.81737807,0.78499999,0.78499999,0.789493407
146,1910,0.828242469,0.82198169,1.650224159,-0.1169102,,1.21,0.822,,0.82198169,0.82198169,0.81899999,0.81899999,0.828242469
147,1911,0.843404071,0.77889405,1.622298121,-0.1136427,,1.2,0.815041,,0.77889405,0.77889405,0.83599999,0.83599999,0.843404071
148,1912,0.883308351,0.74784844,1.631156791,-0.10638151,,1.2,0.805928,,0.74784844,0.74784844,0.87899999,0.87899999,0.883308351
149,1913,0.955863867,0.72297977,1.678843637,-0.10198563,,1.2,0.795207,,0.72297977,0.72297977,0.94299999,0.94299999,0.955863867
150,1914,0.867328536,0.71479152,1.582120056,-0.09477063,,1.18,0.783424,,0.71479152,0.71479152,0.84999999,0.84999999,0.867328536
151,1915,0.855609323,0.70574964,1.561358963,-0.08578781,,1.18,0.771125,,0.70574964,0.70574964,0.83799999,0.83799999,0.855609323
152,1916,0.923280698,0.70811648,1.631397178,-0.08325857,,1.17,0.758856,,0.70811648,0.70811648,0.90099999,0.90099999,0.923280698
153,1917,0.965775777,0.7111963,1.676972077,-0.0829626,,1.17,0.747163,,0.7111963,0.7111963,0.95499999,0.95499999,0.965775777
154,1918,0.952127748,0.71430427,1.666432018,-0.08019705,,1.17,0.736592,,0.71430427,0.71430427,0.93599999,0.93599999,0.952127748
155,1919,0.825731353,0.71965435,1.545385703,-0.07137412,,1.17,0.727689,,0.71965435,0.71965435,0.80599999,0.80599999,0.825731353
156,1920,0.960261227,0.72128338,1.681544607,-0.06632753,,1.21,0.721,,0.72128338,0.72128338,0.93199999,0.93199999,0.960261227
157,1921,0.842828668,0.75741661,1.600245278,-0.06110771,,1.24,0.73565,,0.75741661,0.75741661,0.80299999,0.80299999,0.842828668
158,1922,0.884268695,0.7479409,1.632209595,-0.0542606,,1.26,0.75248,,0.7479409,0.7479409,0.84499999,0.84499999,0.884268695
159,1923,1.003443536,0.75328819,1.756731726,-0.0610025,,1.27,0.77091,,0.75328819,0.75328819,0.96999999,0.96999999,1.003443536
160,1924,1.006921504,0.75686059,1.763782094,-0.06533134,,1.28,0.79036,,0.75686059,0.75686059,0.96299999,0.96299999,1.006921504
161,1925,1.014294863,0.75808855,1.772383413,-0.06160418,,1.29,0.81025,,0.75808855,0.75808855,0.97499999,0.97499999,1.014294863
162,1926,0.995891945,0.76148327,1.757375215,-0.05839943,,1.29,0.83,,0.76148327,0.76148327,0.98299999,0.98299999,0.995891945
163,1927,1.08770219,0.79718283,1.88488502,-0.05890913,,1.3,0.84903,,0.79718283,0.79718283,1.062,1.062,1.08770219
164,1928,1.082560274,0.79967141,1.882231684,-0.06001239,,1.3,0.86676,,0.79967141,0.79967141,1.065,1.065,1.082560274
165,1929,1.162619043,0.82422601,1.986845053,-0.05949532,,1.3,0.88261,,0.82422601,0.82422601,1.145,1.145,1.162619043
166,1930,1.071881428,0.89587975,1.967761178,-0.05584482,,1.35,0.896,,0.89587975,0.89587975,1.053,1.053,1.071881428
167,1931,0.955814798,0.90334082,1.859155618,-0.04664388,,1.4,0.887573,,0.90334082,0.90334082,0.93999999,0.93999999,0.955814798
168,1932,0.861811021,0.81222597,1.674036991,-0.03675129,,1.41,0.876664,,0.81222597,0.81222597,0.84699999,0.84699999,0.861811021
169,1933,0.907238132,0.80858849,1.715826622,-0.03097817,,1.44,0.863831,,0.80858849,0.80858849,0.89299999,0.89299999,0.907238132
170,1934,0.98586371,0.79686256,1.78272627,-0.03005086,,1.46,0.849632,,0.79686256,0.79686256,0.97299999,0.97299999,0.98586371
171,1935,1.034197378,0.79471575,1.828913128,-0.0288055,,1.47,0.834625,,0.79471575,0.79471575,1.027,1.027,1.034197378
172,1936,1.136147923,0.80129993,1.937447853,-0.02857808,,1.49,0.819368,,0.80129993,0.80129993,1.13,1.13,1.136147923
173,1937,1.214376419,0.77969902,1.994075439,-0.02649252,,1.5,0.804419,,0.77969902,0.77969902,1.209,1.209,1.214376419
174,1938,1.142480636,0.78188222,1.924362856,-0.01561886,,1.51,0.790336,,0.78188222,0.78188222,1.142,1.142,1.142480636
175,1939,1.208354889,0.77944376,1.987798649,-0.00756791,,1.52,0.777677,,0.77944376,0.77944376,1.192,1.192,1.208354889
176,1940,1.320935437,0.76683237,2.087767807,-0.00821566,,1.54,0.767,,0.76683237,0.76683237,1.299,1.299,1.320935437
177,1941,1.350319707,0.75036458,2.100684287,-0.01102469,,1.56,0.7693735,,0.75036458,0.75036458,1.334,1.334,1.350319707
178,1942,1.345142165,0.7690497,2.114191865,-0.01302018,,1.56,0.774208,,0.7690497,0.7690497,1.342,1.342,1.345142165
179,1943,1.367830396,0.7637656,2.131595996,-0.01260836,,1.55,0.7814245,,0.7637656,0.7637656,1.391,1.391,1.367830396
180,1944,1.390767388,0.76839864,2.159166028,-0.01308194,,1.54,0.790944,,0.76839864,0.76839864,1.383,1.383,1.390767388
181,1945,1.156361869,0.76914739,1.925509259,-0.01360996,,1.53,0.8026875,,0.76914739,0.76914739,1.16,1.16,1.156361869
182,1946,1.261884458,0.84214892,2.104033378,-0.01775414,,1.52,0.816576,,0.84214892,0.84214892,1.238,1.238,1.261884458
183,1947,1.396876194,0.87017994,2.267056134,-0.02665017,,1.52,0.8325305,,0.87017994,0.87017994,1.392,1.392,1.396876194
184,1948,1.469123592,0.87513044,2.344254032,-0.0351565,,1.51,0.850472,,0.87513044,0.87513044,1.469,1.469,1.469123592
185,1949,1.426721462,0.88212641,2.308847872,-0.03790194,,1.49,0.8703215,,0.88212641,0.88212641,1.419,1.419,1.426721462
186,1950,1.608695969,0.89233465,2.501030619,-0.04104037,,1.57,0.892,,0.89233465,0.89233465,1.63,1.63,1.608695969
187,1951,1.734959827,1.0885201,2.823479927,-0.05942583,,1.62,0.92188,,1.0885201,1.0885201,1.768,1.768,1.734959827
188,1952,1.758055511,1.1096378,2.867693311,-0.07795559,,1.64,0.95304,,1.1096378,1.1096378,1.796,1.796,1.758055511
189,1953,1.806907552,1.1045171,2.911424652,-0.08520436,,1.67,0.98501,,1.1045171,1.1045171,1.841,1.841,1.806907552
190,1954,1.845266987,1.1521416,2.997408587,-0.09186512,,1.69,1.01732,,1.1521416,1.1521416,1.865,1.865,1.845266987
191,1955,2.022447204,1.1911855,3.213632704,-0.09856007,,1.71,1.0495,,1.1911855,1.1911855,2.043,2.043,2.022447204
192,1956,2.15289654,1.2446883,3.39758484,-0.10503251,,1.74,1.08108,,1.2446883,1.2446883,2.178,2.178,2.15289654
193,1957,2.22376696,1.2718718,3.49563876,-0.11132448,,1.76,1.11159,,1.2718718,1.2718718,2.27,2.27,2.22376696
194,1958,2.286622863,1.3195817,3.606204563,-0.11301114,,1.78,1.14056,,1.3195817,1.3195817,2.33,2.33,2.286622863
195,1959,2.415,1.2035957,3.6185957,-0.10587586,,1.8,1.16752,,1.2035957,1.2035957,2.462,2.462,2.415
196,1960,2.548,1.1922833,3.7402833,-0.09670858,98.56465298,1.66,1.192,,1.1922833,1.1922833,2.577,2.480223,2.548
197,1961,2.553,1.2443218,3.7973218,-0.10438456,,1.59,1.203828,,1.2443218,1.2443218,2.594,2.479139,2.553
198,1962,2.644,1.2355717,3.8795717,-0.11533521,,1.56,1.212824,,1.2355717,1.2355717,2.7,2.566932,2.644
199,1963,2.794,1.2442947,4.0382947,-0.11506179,,1.51,1.219106,,1.2442947,1.2442947,2.848,2.71303,2.794
200,1964,2.939,1.2515879,4.1905879,-0.11329105,,1.47,1.222792,,1.2515879,1.2515879,3.008,2.85112,2.939
201,1965,3.076,1.2642558,4.3402558,-0.10911445,,1.42,1.224,,1.2642558,1.2642558,3.145,2.9846,3.076
202,1966,3.219,1.2936968,4.5126968,-0.10389189,,1.39,1.222848,,1.2936968,1.2936968,3.305,3.1205,3.219
203,1967,3.322,1.2976254,4.6196254,-0.100381,,1.37,1.219454,,1.2976254,1.2976254,3.411,3.216674,3.322
204,1968,3.503,1.2352028,4.7382028,-0.09489725,,1.37,1.213936,,1.2352028,1.2352028,3.588,3.3921,3.503
205,1969,3.737,1.2383879,4.9753879,-0.08293519,,1.37,1.206412,,1.2383879,1.2383879,3.8,3.620335,3.737
206,1970,4.047,1.1971129,5.2441129,-0.06039031,,1.36,1.197,,1.1971129,1.1971129,4.076,3.922947,4.047
207,1971,4.21,1.0708913,5.2808913,-0.03373502,,1.34,1.1771555,,1.0708913,1.0708913,4.231,4.0795,4.21
208,1972,4.406,1.0470621,5.4530621,-0.01816865,,1.31,1.156184,,1.0470621,1.0470621,4.399,4.2648,4.406
209,1973,4.64,1.0330987,5.6730987,-0.01012207,,1.3,1.1347285,,1.0330987,1.0330987,4.6349999,4.4916,4.64
210,1974,4.62,1.0387371,5.6587371,-0.00168982,,1.27,1.113432,,1.0387371,1.0387371,4.644,4.4816,4.62
211,1975,4.613,1.0315876,5.6445876,0.00662207,,1.25,1.0929375,,1.0315876,1.0315876,4.615,4.486525,4.613
212,1976,4.858,1.0906077,5.9486077,0.0105612,,1.23,1.073888,,1.0906077,1.0906077,4.883,4.733187,4.858
213,1977,4.991,1.0939874,6.0849874,0.0150762,,1.22,1.0569265,,1.0939874,1.0939874,5.029,4.8637,4.991
