,,,368.5240291,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd,,,,,,,,,,
Country,ISO,CO2_MtC,CO2_GtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std,,Var_RMQ,Var_Drupp,,,,,,,
Morocco,MAR,445.9037009,0.445903701,57503.89689,4976.730636,57.50389689,4.976730636,92425.8144,8127.05047,92.4258144,8.12705047,,24.76784782,66.04894935,,,,,,,
Peru,PER,443.5322849,0.443532285,59230.21648,4634.481748,59.23021648,4.634481748,92930.29425,7354.841435,92.93029425,7.354841435,,21.47842107,54.09369254,,,,,,,
Cuba,CUB,432.9107093,0.432910709,60562.71351,4480.066483,60.56271351,4.480066483,92133.85728,6706.570279,92.13385728,6.706570279,,20.07099569,44.97808491,,,,,,,
New Zealand,NZL,427.5918185,0.427591819,58255.64368,4297.313226,58.25564368,4.297313226,90177.53279,6679.411222,90.17753279,6.679411222,,18.46690096,44.61453428,,,,,,,
Hong Kong,HKG,422.1588464,0.422158846,55501.56616,4624.072615,55.50156616,4.624072615,88161.08969,7361.58166,88.16108969,7.36158166,,21.38204755,54.19288454,,,,,,,
Estonia,EST,381.6149523,0.381614952,54676.7864,4155.620327,54.6767864,4.155620327,81861.25968,6061.468097,81.86125968,6.061468097,,17.2691803,36.7413955,,,,,,,
Bangladesh,BGD,372.0935176,0.372093518,46172.49997,4675.244501,46.17249997,4.675244501,76125.5154,7843.798628,76.1255154,7.843798628,,21.85791114,61.52517692,,,,,,,
Trinidad and Tobago,TTO,355.1196458,0.355119646,46344.08837,3906.49218,46.34408837,3.90649218,73900.64246,6316.167767,73.90064246,6.316167767,,15.26068115,39.89397527,,,,,,,
Lithuania,LTU,349.7896131,0.349789613,50540.08453,3934.245053,50.54008453,3.934245053,75254.3522,5698.997722,75.2543522,5.698997722,,15.47828414,32.47857503,,,,,,,
Oman,,310.1682069,0.310168207,38140.60495,4037.922875,38.14060495,4.037922875,63287.4906,6783.118189,63.2874906,6.783118189,,16.30482115,46.01069236,,,,,,,
Ecuador,ECU,303.6029478,0.303602948,39319.1416,3410.089717,39.3191416,3.410089717,63058.90771,5510.834535,63.05890771,5.510834535,,11.62871188,30.36929727,,,,,,,
Croatia,HRV,280.0553225,0.280055323,38498.86377,2904.976546,38.49886377,2.904976546,59306.94031,4437.921502,59.30694031,4.437921502,,8.438888732,19.69514726,,,,,,,
Georgia,GEO,258.4013521,0.258401352,38133.64111,3199.595888,38.13364111,3.199595888,55953.45577,4567.580014,55.95345577,4.567580014,,10.23741385,20.86278718,,,,,,,
Moldova,MDA,239.7512764,0.239751276,35306.52688,3142.883319,35.30652688,3.142883319,51977.75315,4493.628301,51.97775315,4.493628301,,9.877715555,20.19269531,,,,,,,
Tunisia,TUN,230.1701617,0.230170162,29953.34552,2525.729047,29.95334552,2.525729047,47872.2341,4078.943831,47.8722341,4.078943831,,6.379307218,16.63778277,,,,,,,
Bosnia and Herzegovina,BIH,229.5745342,0.229574534,31274.45629,2486.330592,31.27445629,2.486330592,48454.82069,3815.293673,48.45482069,3.815293673,,6.181839813,14.55646581,,,,,,,
Bahrain,BHR,221.3944135,0.221394414,28443.28907,2516.060948,28.44328907,2.516060948,45847.65794,4108.198453,45.84765794,4.108198453,,6.330562694,16.87729453,,,,,,,
Slovenia,SVN,216.4668636,0.216466864,29735.90393,2239.467548,29.73590393,2.239467548,45831.14207,3423.626014,45.83114207,3.423626014,,5.015214897,11.72121509,,,,,,,
Luxembourg,LUX,200.8905584,0.200890558,28992.55873,2071.871334,28.99255873,2.071871334,43087.90788,2988.758352,43.08790788,2.988758352,,4.292650825,8.932676487,,,,,,,
Kyrgyzstan,KGZ,199.8055135,0.199805513,28869.0307,2458.358832,28.8690307,2.458358832,43009.43459,3543.214906,43.00943459,3.543214906,,6.043528146,12.55437187,,,,,,,
