,,,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd
Country,ISO,CO2_MtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std
Malta,MLT,27.64533292,3624.55723,296.4313347,3.62455723,0.296431335,5695.181082,465.6201733,5.695181082,0.465620173
Guyana,GUY,26.13489948,3536.953664,262.2170682,3.536953664,0.262217068,5427.068774,398.6951225,5.427068774,0.398695123
Uganda,UGA,25.85759078,3266.437818,293.6952059,3.266437818,0.293695206,5242.704736,486.473282,5.242704736,0.486473282
Montenegro,MNE,25.03443024,3322.678848,259.9067657,3.322678848,0.259906766,5173.683398,401.8749885,5.173683398,0.401874989
Madagascar,MDG,24.37198533,3163.990735,253.8171764,3.163990735,0.253817176,4990.011836,408.6159737,4.990011836,0.408615974
Kosovo,,24.20579402,2697.817751,478.4231608,2.697817751,0.478423161,4711.591622,818.9106406,4.711591622,0.818910641
Guinea,GIN,21.31854203,2760.504675,221.4832236,2.760504675,0.221483224,4365.565641,354.9013967,4.365565641,0.354901397
Haiti,HTI,19.83579433,2511.72336,216.6945721,2.51172336,0.216694572,4031.070093,355.7474937,4.031070093,0.355747494
Congo,COG,19.63343942,2503.328974,225.691755,2.503328974,0.225691755,3998.988263,366.7059996,3.998988263,0.366706
Mauritania,MRT,18.88186506,2384.874093,226.8527477,2.384874093,0.226852748,3838.204451,365.6986514,3.838204451,0.365698651
Namibia,NAM,18.61106483,2202.971136,255.1911553,2.202971136,0.255191155,3705.105364,427.0561479,3.705105364,0.427056148
Togo,TGO,18.04493951,2261.025026,204.6992467,2.261025026,0.204699247,3658.375801,335.8938271,3.658375801,0.335893827
Aruba,ABW,17.76422796,2325.524436,206.2486231,2.325524436,0.206248623,3653.892562,327.0860968,3.653892562,0.327086097
Lesotho,LSO,15.89399726,1924.080215,209.4162874,1.924080215,0.209416287,3191.321672,342.5146114,3.191321672,0.342514611
Burkina Faso,BFA,15.24475213,1846.651098,193.0547859,1.846651098,0.193054786,3053.362897,326.6063581,3.053362897,0.326606358
Macao,MAC,15.14790855,1918.607403,170.5650593,1.918607403,0.170565059,3085.384624,274.9215321,3.085384624,0.274921532
Occupied Palestinian Territory,,14.68777792,1740.156442,201.1401475,1.740156442,0.201140147,2925.024866,336.4692453,2.925024866,0.336469245
Barbados,BRB,14.3334167,1873.010891,148.7113505,1.873010891,0.148711351,2947.197416,234.9635512,2.947197416,0.234963551
Liberia,LBR,13.80680758,1912.284999,167.9172577,1.912284999,0.167917258,2888.892506,244.719179,2.888892506,0.244719179
Fiji,FJI,13.72127333,1790.306712,142.1270791,1.790306712,0.142127079,2815.051122,227.1185874,2.815051122,0.227118587
Sint Maarten (Dutch part),,13.60648073,1932.320769,165.9469196,1.932320769,0.16594692,2868.041185,235.6733076,2.868041185,0.235673308
Mali,MLI,13.54946881,1650.935494,169.9792017,1.650935494,0.169979202,2717.608254,287.5297482,2.717608254,0.287529748
Malawi,MWI,12.12618443,1594.475538,124.1135648,1.594475538,0.124113565,2496.648633,194.8047577,2.496648633,0.194804758
Niger,NER,11.79234104,1492.60155,135.056166,1.49260155,0.135056166,2397.967313,219.8964963,2.397967313,0.219896496
Swaziland,SWZ,10.73063719,NaN,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!
South Sudan,,9.667269182,1215.333189,109.8947681,1.215333189,0.109894768,1959.583263,181.4297238,1.959583263,0.181429724
Sierra Leone,SLE,9.61742529,1308.775685,100.5109747,1.308775685,0.100510975,1998.530146,151.7569587,1.998530146,0.151756959
Somalia,SOM,8.645218262,1157.565525,95.12575917,1.157565525,0.095125759,1793.196335,144.5772189,1.793196335,0.144577219
Faeroe Islands,FRO,7.976536304,1053.619394,82.5897271,1.053619394,0.082589727,1646.32631,128.6749851,1.64632631,0.128674985
Greenland,GRL,7.74466364,1058.427107,78.77951424,1.058427107,0.078779514,1613.066132,118.3809468,1.613066132,0.118380947
Bermuda,BMU,7.593113886,1016.410817,77.36397625,1.016410817,0.077363976,1573.017482,119.0773164,1.573017482,0.119077316
French Polynesia,#NV,7.364054743,949.7393691,78.99900293,0.949739369,0.078999003,1508.298405,125.7668141,1.508298405,0.125766814
Rwanda,RWA,7.158465103,920.4129236,80.19274479,0.920412924,0.080192745,1464.615085,127.1461144,1.464615085,0.127146114
Chad,TCD,6.561421946,821.5838916,74.99741184,0.821583892,0.074997412,1329.997911,123.1593503,1.329997911,0.12315935
"Bonaire, Saint Eustatius and Saba",,6.078746572,863.5583783,74.19806267,0.863558378,0.074198063,1281.46644,105.3441998,1.28146644,0.1053442
Maldives,MDV,5.766153872,677.1797229,80.31543008,0.677179723,0.08031543,1143.976068,136.2911396,1.143976068,0.13629114
Antigua and Barbuda,ATG,5.626984074,764.2088521,68.73307025,0.764208852,0.06873307,1169.719677,100.8510402,1.169719677,0.10085104
Djibouti,DJI,4.995926442,657.125302,52.24226636,0.657125302,0.052242266,1029.79786,81.61483594,1.02979786,0.081614836
Belize,BLZ,4.873086596,627.173364,51.42141127,0.627173364,0.051421411,996.6914761,82.54821654,0.996691476,0.082548217
Eritrea,ERI,4.393664121,529.9380681,63.11457431,0.529938068,0.063114574,881.2536763,102.5137621,0.881253676,0.102513762
Bhutan,BTN,4.251804963,499.3087642,60.93154394,0.499308764,0.060931544,843.0687327,104.0132527,0.843068733,0.104013253
Seychelles,SYC,4.171218281,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!
Andorra,AND,3.840694874,469.37541,51.18465576,0.46937541,0.051184656,774.0854672,82.80390442,0.774085467,0.082803904
Gambia,GMB,3.531722684,445.1234209,38.91246838,0.445123421,0.038912468,717.3467188,63.65532604,0.717346719,0.063655326
Cape Verde,CPV,3.315121254,409.6957705,40.0008812,0.40969577,0.040000881,668.293738,66.44864465,0.668293738,0.066448645
Central African Republic,CAF,3.190008127,421.3881414,32.95126858,0.421388141,0.032951269,658.0436282,51.25824619,0.658043628,0.051258246
Burundi,BDI,3.151513715,404.0094801,34.58221886,0.40400948,0.034582219,643.7311856,55.64617013,0.643731186,0.05564617
Saint Lucia,LCA,3.130854262,398.2085879,34.71727988,0.398208588,0.03471728,638.4999895,55.8728185,0.63849999,0.055872819
Solomon Islands,SLB,2.687462108,341.2150458,29.53649069,0.341215046,0.029536491,547.685931,47.71404633,0.547685931,0.047714046
Guinea-Bissau,GNB,2.593228196,337.8738082,27.13070906,0.337873808,0.027130709,532.6523571,42.86945474,0.532652357,0.042869455
Grenada,GRD,2.076036431,261.7859668,22.96088396,0.261785967,0.022960884,421.8075726,37.49005329,0.421807573,0.037490053
Samoa,WSM,1.85410702,237.8124518,19.77296569,0.237812452,0.019772966,378.8154445,31.78359065,0.378815444,0.031783591
Saint Vincent and the Grenadines,VCT,1.806081233,225.4017083,20.7378857,0.225401708,0.020737886,365.7960587,34.04510205,0.365796059,0.034045102
Saint Kitts and Nevis,,1.607962305,196.5006605,19.85417169,0.19650066,0.019854172,323.8030559,32.59197694,0.323803056,0.032591977
Liechtenstein,LIE,1.589781394,196.2774384,21.61604684,0.196277438,0.021616047,321.6655519,34.58231745,0.321665552,0.034582317
Palau,PLW,1.570796318,189.995468,21.39906581,0.189995468,0.021399066,315.3699421,34.85498116,0.315369942,0.034854981
British Virgin Islands,,1.423367667,176.5650128,16.61440918,0.176565013,0.016614409,287.893121,27.27091394,0.287893121,0.027270914
Timor-Leste,TLS,1.422036495,160.0913747,24.73360187,0.160091375,0.024733602,277.7869403,42.51743758,0.27778694,0.042517438
Nauru,NRU,1.289577018,178.2769752,15.46301684,0.178276975,0.015463017,270.6393615,22.78373506,0.270639361,0.022783735
Comoros,COM,1.238119926,154.8754581,14.00127575,0.154875458,0.014001276,250.8145637,23.07775799,0.250814564,0.023077758
Dominica,DMA,1.232308203,154.4700349,13.85811602,0.154470035,0.013858116,249.8654191,22.7655824,0.249865419,0.022765582
Vanuatu,VUT,1.189686668,156.1036414,12.55065825,0.156103641,0.012550658,244.7059571,19.6905189,0.244705957,0.019690519
Martinique,MTQ,1.146161881,157.0647379,13.93747897,0.157064738,0.013937479,238.7749094,20.3907209,0.238774909,0.020390721
Tonga,TON,1.124908598,143.5707071,12.18589815,0.143570707,0.012185898,229.534623,19.64397462,0.229534623,0.019643975
Réunion,REU,1.016467673,126.860414,13.63540204,0.126860414,0.013635402,205.720272,21.92168118,0.205720272,0.021921681
Saint Pierre and Miquelon,,0.99962437,135.9797288,9.960218435,0.135979729,0.009960218,207.8086861,15.11392455,0.207808686,0.015113925
Turks and Caicos Islands,,0.955873109,111.7077649,13.63505826,0.111707765,0.013635058,189.4049798,23.03572671,0.18940498,0.023035727
Micronesia (Federated States of),,0.934731054,112.869301,12.75216777,0.112869301,0.012752168,187.5456044,20.81190896,0.187545604,0.020811909
Anguilla,AIA,0.863159544,103.0838787,11.62279061,0.103083879,0.011622791,172.4607635,19.27357014,0.172460764,0.01927357
Marshall Islands,,0.85177544,101.7927752,11.55627986,0.101792775,0.01155628,170.2306029,19.09072906,0.170230603,0.019090729
Sao Tome and Principe,STP,0.843423165,107.3047848,9.14022951,0.107304785,0.00914023,171.7910545,14.85733292,0.171791055,0.014857333
Kiribati,KIR,0.537798948,69.77462517,5.722068294,0.069774625,0.005722068,110.2249032,9.097744313,0.110224903,0.009097744
Cook Islands,COK,0.523843334,66.89024076,5.952101005,0.066890241,0.005952101,106.9686869,9.468667263,0.106968687,0.009468667
